0	Domain	MBFC factual	Site Rank	W	MisinfoMe	Logically	Our.news	Get fact-checks for:
1	100percentfedup.com	low	101,963	 	-0.91	low	problematic	100 Percent Fed Up
2	10news.one	low	2,688,331	 	0.00	low	 	10News.one
3	12minutos.com	low	330,294	 	-1.00	low	problematic	12minutos.com
4	2020conservative.com	very-low	250,043	 	 	unknown	 	2020 Conservative
5	2020electioncenter.com	very-low	2,542	 	0.60	low	 	Banned.Video
6	24jours.com	low	438,149	 	0.25	unknown	problematic	24jours.com
7	4chan.org	very-low	1,075	W	0.72	unknown	problematic	4Chan
8	79days.news	very-low	75,838	 	-1.00	unknown	 	Banned.video
9	911truth.org	low	900,437	 	0.40	low	problematic	911Truth.org
10	aapsonline.org	low	266,505	W	-0.64	low	unverified	Association of American Physicians and Surgeons
11	abovetopsecret.com	low	25,965	 	0.19	low	problematic	Above Top Secret
12	acallforanuprising.com	low	1,148,615	 	-0.58	unknown	 	A Call for an Uprising
13	actionnews3.com	very-low	1,639,157	 	-0.95	low	problematic	Action News 3
14	activistpost.com	low	65,871	 	-0.79	low	problematic	Activist Post
15	adflegal.org	low	235,690	W	-0.03	low	problematic	Alliance Defending Freedom
16	afa.net	low	258,741	W	-0.71	low	unverified	American Family Association
17	afn.net	low	720,540	 	 	unknown	 	American Family News
18	aim4truth.org	very-low	199,732	 	0.00	low	problematic	American Intelligence Media
19	allnewspipeline.com	low	119,886	 	-0.83	low	problematic	All News Pipeline
20	alphanews.org	low	192,676	 	 	unknown	 	Alpha News
21	alphanewsmn.com	low	316,986	 	0.00	low	 	Alpha News
22	altermedzentrum.com	very-low	7,521,590	 	-0.44	unknown	problematic	Altermed Zentrum
23	alternativenews.com	low	2,828,101	 	0.24	low	problematic	AlternativeNews.com
24	althealthworks.com	low	411,488	 	0.60	low	problematic	AltHealth Works
25	altleft.news	very-low	20,000,000	 	 	low	 	AltLeft.News
26	altrighttv.com	low	2,501,588	 	-0.14	low	 	Alt-Right TV
27	americamaxnews.com	low	494,950	 	-0.60	unknown	 	America Max News
28	americanconservativemovement.com	low	249,171	 	-0.60	unknown	 	American Conservative Movement
29	americanfreepress.net	low	460,516	W	-0.40	low	problematic	American Free Press
30	americangulag.org	very-low	867,901	 	-0.14	unknown	 	American Gulag
31	americanjournalreview.com	low	322,527	 	0.00	low	problematic	American Journal Review
32	americanlibertyemail.com	low	796,135	 	 	unknown	 	American Liberty Report
33	americanlookout.com	low	399,717	 	0.20	low	problematic	American Lookout
34	americanpatriotdaily.com	low	158,425	 	-0.13	low	problematic	American Patriot Daily
35	americanpeopledaily.com	low	678,656	 	0.00	unknown	 	American People Daily
36	americanpolicy.org	low	4,188,492	 	0.24	unknown	 	American Policy Center
37	americanprinciplesproject.org	low	7,206,620	W	-0.16	low	 	American Principles Project
38	americansfortruth.com	very-low	3,649,691	W	-0.40	low	 	Americans for Truth about Homosexuality
39	americanthinker.com	low	15,496	W	-0.71	low	problematic	American Thinker
40	americantruthtoday.com	low	546,805	 	0.60	low	 	American Truth Today
41	americasfreedomfighters.com	low	88,863	 	-0.77	unknown	problematic	Americas Freedom Fighters
42	americasfrontlinedoctors.org	low	49,620	 	-0.67	unknown	 	America's Frontline Doctors
43	amg-news.com	very-low	292,004	 	 	unknown	 	American Media Group
44	amren.com	low	65,466	W	-0.12	low	verified	American Renaissance Magazine
45	amtvmedia.com	low	1,000,462	 	0.20	low	problematic	Alternative Media Television (AMTV)
46	anonhq.com	very-low	173,716	 	-0.25	low	problematic	We are Anonymous
47	anyavien.com	very-low	2,000,570	 	-1.00	unknown	unverified	Anya Vien
